COD_DEP,DEPENDENCIA,SUPERINTENDENCIA,DIRECCION,PROVINCIA,LATITUD,LONGITUD,PERSONAL,MOVILES,ARMAS
1,JEFATURA POLICIA FEDERAL,JEFATURA,MORENO 1550 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6125459025693,-58.3883492889004,100,100,100
10,SUBJEFATURA P.F.A.,SUBJEFATURA,MORENO 1550 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.61251335,-58.38802394,100,100,100
11,SECRETARIA DE CONTROL LEGAL Y TECNICO,JEFATURA,MORENO 1550 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6128277737631,-58.3886187028902,100,100,100
12,DEPTO. AYUDANTIA DE SUBJEFATURA P.F.A.,DIR. GRAL. AYUDANTIA DE SUBJEFATURA P.F.A.,MORENO 1550 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6125076311912,-58.3878931304191,100,100,100
13,SALA COMISARIOS GENERALES,SUBJEFATURA,MORENO 1550 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6125039862971,-58.3877801979795,100,100,100
15,COORDINACION DE ENLACE CON LA UNIDAD DE AUDITORIA INTERNA DEL MINISTERIO DE SEGURIDAD,DIR. GRAL. GABINETE DE JEFATURA,AV. RIVADAVIA 1330 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6087987927728,-58.3853605466501,100,100,100
18,DIR. GRAL. GABINETE DE JEFATURA,DIR. GRAL. GABINETE DE JEFATURA,MORENO 1550 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.612568529,-58.38853051,100,100,100
21,DIVISION EVALUACION E INGRESOS,ASUNTOS INTERNOS E INSPECTORIA GENERAL,FRAY MAMERTO ESQUIU 1065 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6516433108129,-58.4184659007992,100,100,100
23,DIVISION SEG.Y CUSTODIA CORTE SUP.DE JUSTICIA DE LA NACION,SEGURIDAD Y CUSTODIA,TALCAHUANO 550 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.60227919878,-58.3861735230446,100,100,100
24,DIVISION SEGURIDAD EDIFICIO INMIGRANTES,SEGURIDAD Y CUSTODIA,AV. DE LOS INMIGRANTES 1950 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.58569804,-58.3708054,100,100,100
